# Last updated: 2026-07-20
# Scope: Doctor Who (2005), Doctor Who (2023), Torchwood, The Sarah Jane Adventures and Class, all holiday/anniversary specials; excludes other specials, minisodes and prequels, the Classic Doctor Who (1963) and the 1996 TV Movie
# Ordered by air date and time per TVmaze
tvdb_episode:78804_6_2  # S06E02 - Day of the Moon
tvdb_episode:78804_6_3  # S06E03 - The Curse of the Black Spot
tvdb_episode:78804_6_4  # S06E04 - The Doctor's Wife
tvdb_episode:78804_6_5  # S06E05 - The Rebel Flesh
tvdb_episode:78804_6_6  # S06E06 - The Almost People
tvdb_episode:78804_6_7  # S06E07 - A Good Man Goes to War
tvdb_episode:79511_4_1  # S04E01 - The New World
tvdb_episode:79511_4_2  # S04E02 - Rendition
tvdb_episode:79511_4_3  # S04E03 - Dead of Night
tvdb_episode:79511_4_4  # S04E04 - Escape to L.A.
tvdb_episode:79511_4_5  # S04E05 - The Categories of Life
tvdb_episode:79511_4_6  # S04E06 - The Middle Men
tvdb_episode:79511_4_7  # S04E07 - Immortal Sins
tvdb_episode:79511_4_8  # S04E08 - End of the Road
tvdb_episode:78804_6_8  # S06E08 - Let's Kill Hitler
tvdb_episode:79511_4_9  # S04E09 - The Gathering
tvdb_episode:78804_6_9  # S06E09 - Night Terrors
tvdb_episode:79511_4_10  # S04E10 - The Blood Line
tvdb_episode:78804_6_10  # S06E10 - The Girl Who Waited
tvdb_episode:78804_6_11  # S06E11 - The God Complex
tvdb_episode:78804_6_12  # S06E12 - Closing Time
tvdb_episode:78804_6_13  # S06E13 - The Wedding of River Song
tvdb_episode:79708_5_1  # S05E01 - SKY Part One
tvdb_episode:79708_5_2  # S05E02 - SKY Part Two
tvdb_episode:79708_5_3  # S05E03 - THE CURSE OF CLYDE LANGER Part One
tvdb_episode:79708_5_4  # S05E04 - THE CURSE OF CLYDE LANGER Part Two
tvdb_episode:79708_5_5  # S05E05 - THE MAN WHO NEVER WAS Part One
tvdb_episode:79708_5_6  # S05E06 - THE MAN WHO NEVER WAS Part Two
tvdb_episode:78804_0_48  # S00E48 - The Doctor, the Widow and the Wardrobe
tvdb_episode:78804_7_1  # S07E01 - Asylum of the Daleks
tvdb_episode:78804_7_2  # S07E02 - Dinosaurs on a Spaceship
tvdb_episode:78804_7_3  # S07E03 - A Town Called Mercy
tvdb_episode:78804_7_4  # S07E04 - The Power of Three
tvdb_episode:78804_7_5  # S07E05 - The Angels Take Manhattan
tvdb_episode:78804_0_66  # S00E66 - The Snowmen
tvdb_episode:78804_7_6  # S07E06 - The Bells of Saint John
